Master Record Number,Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Time Notified,Time Arrived,Investigation Complete?,Photos Taken?,Unique Location Id,State Property Damage?,Traffic Control,NARRATIVE
903358883,BLOOMINGTON PD,B1916555,MONROE,BLOOMINGTON,BLOOMINGTON,4/24/2019,12:30 PM,2,0,1,0,0,,1700 N KINSER,PIKE,,,,1700 N KINSER,W GOURLEY,,,,Y,,50,N,39.185392,-86.537856,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,1230,1245,Y,N,1700NKINSERPIKEWGOURLEYPIKE,0,LANE CONTROL,"V2/D2 STATED ""I WAS STOPPED IN THE ROADWAY SOUTHBOUND ON N. KINSER PIKE. TRAFFIC NORTHBOUND WAS STOPPED IN THE ROADWAY, AND I WAS WAITING ON IT TO MOVE AS I WAS ATTEMPTING TO MAKE A LEFT HAND TURN AND PULL INTO 1720 N. KINSER, WHEN ALL OF THE SUDDEN I WAS REAR ENDED BY V1.""V1/D1 STATED ""I WAS SOUTHBOUND ON N. KINSER PIKE, V2 WAS STOPPED IN THE ROADWAY, THE ROADWAY SURFACE WAS WET. I WAS UNABLE TO STOP MY PICKUP TRUCK AND TRAILOR. I REAR ENDED V2. IN THE ROADWAY."""
903359067,INDIANA UNIV BLOOMINGTON PD,191019,MONROE,BLOOMINGTON,BLOOMINGTON,4/24/2019,4:00 PM,2,0,0,0,0,,JORDAN,AVE,,,,JORDAN,LAW,,,,Y,,,,39.173552,-86.515488,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,400,403,Y,N,ELAWLNJORDANAVE,0,TRAFFIC CONTROL SIGNAL,V1 was traveling eastbound on Law Lane approaching Jordan Ave. V2 was traveling westbound on Law Lane approaching Jordan Ave.D1 stated he was traveling eastbound on Law Lane approaching Jordan Ave. D1 stated he entered the intersection when the traffic control signal had turned yellow. D1 stated he was going to turn northbound onto Jordan Ave. D1 stated that he began turning northbound onto Jordan Ave when D2 collided with him. D1 stated he did not see D2 and also stated the light had turned red when he began to turn northbound onto Jordan Ave. V1 had damage to the front-end of the vehicle.D2 stated he was traveling westbound on Law Lane approaching Jordan Ave when the traffic control signal turned yellow. D2 stated he entered the intersection when the traffic control signal was yellow. D2 stated D1 was going to turn northbound onto Jordan Ave. D2 stated that D1 turned in front of him which caused the collision. V2 had damage to the front-end of the vehicle.Both vehicles were towed.
903359993,MONROE SD,M19A13269,MONROE,BLOOMINGTON,BLOOMINGTON,4/24/2019,1:33 PM,2,0,0,0,0,4602,INNOVATION,DR,,,,W INNOVATION,,,,,N,,,,39.17943,-86.59539,UNKNOWN,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,BRAKE FAILURE OR DEFECTIVE,$2501 TO $5000,REAR END,139,152,Y,N,WINNOVATIONDR,0,NONE,"ON 04/25/2019 AT THE LISTED TIME, UNIT 2 WAS PARKED IN A PARKING SPOT FACING NORTH. UNIT 1, A POSTAL TRUCK WAS TRAVELING NORTH IN THE PARKING LOT. UNIT 2 EXPERIENCED A MECHANICAL ISSUE AND LOST BREAK CONTROL. UNIT 2 COLLIDED WITH UNIT 1 CAUSING DAMAGE TO THE RIGHT REAR BUMPER."
903359992,MONROE SD,M19A13267,MONROE,BLOOMINGTON,BLOOMINGTON,4/24/2019,1:05 PM,2,0,0,0,0,450,PROFILE,PKWY,,,,N PROFILE,,,,,N,,,,39.16929196,-86.59230392,UNKNOWN,,N,Y,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,139,152,Y,N,NPROFILEPKWY,0,NONE,ON THE ABOVE DATE AND TIME UNIT 1 WAS PARKED IN THE PARKING LOT FACING WEST. RETURNED TO HIS VEHICLE FROM WORK AND REALIZED UNIT 2 HAD STRUCK HIS VEHICLE WHILE PARKED. UNIT 2 HAD LEFT THE SCENE OF THE ACCIDENT AND NO INFORMATION FOR THIS UNIT WAS AQUIRED.
903362100,ISP BLOOMINGTON 33,2.019E+11,MONROE,INDIAN CREEK,BLOOMINGTON,4/24/2019,5:35 PM,1,0,0,0,1,,,,I69,,,I69,,,108.2,,N,,,,0,0,INTERSTATE,,N,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$10001 TO $25000,COLLISION WITH DEER,540,549,Y,N,I69108.2,0,LANE CONTROL,"Interstate 69 runs primarily north and south. In this particular area there is a grass median. The weather was cloudy and raining at the time of the crash. Vehicle #1 2015 Kia Sorrento was north bound on I-69 when a deer entered the travel lane from the west side. The deer successfully made it across the south bound lanes, but was not able to make it across the north bound side and was struck by vehicle #1. Driver #1 Kenneth Buzzard stated that he was north bound on I-69 when a deer ran from the west side onto the north bound side. Driver #1 was unable to avoid hitting the deer. Evidence on the scene indicates a deer came into the roadway and was struck by vehicle #1. Vehicle #1 was towed to Bloomington by Ken's Westside."
903358642,BLOOMINGTON PD,B1916534,MONROE,PERRY,BLOOMINGTON,4/24/2019,9:03 AM,2,0,0,0,0,907,S COLLEGE MALL,RD,,,,S COLLEGE MALL,,,,,Y,,,,39.15797584,-86.49779788,UNKNOWN,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,905,918,Y,N,SCOLLEGEMALLRD,0,NONE,V1 was parked in front of 907 S College Mall road facing east. V2 was in parking lot at 907 S College Mall road and was moving south. V1 backed up and struck V2 in front of the driver side door with the rear driver side bumper of his vehicle causing damage to both vehicles. D1 stated that he was in a hurry and backed up and hit V2. He stated he didn't see her behind him. D2 stated that she was moving south in the parking lot looking for a parking spot when she was struck by V1.
903360487,MONROE SD,M19A13304,MONROE,INDIAN CREEK,BLOOMINGTON,4/24/2019,8:57 PM,1,0,0,0,0,,S ROCKPORT,RD,,,,S ROCKPORT,W VICTOR,,,,N,,,,39.053744,-86.606304,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,$5001 TO $10000,RAN OFF ROAD,901,920,Y,N,SROCKPORTRDWVICTORPIKE,0,NONE,D1 STATED HE WAS DRIVING NORTH ON S. ROCKPORT RD COMING UP TO W. VICTOR PIKE. D1 TRIED TO MAKE A LAST MINUTE TURN ONTO W. VICTOR PIKE AND V1 RAN OFF THE ROADWAY AND FLIPPED ONTO ITS TOP. BOTH DRIVER AND PASSENGER WERE CHECKED OUT BY EMS ON SCENE AS THEY ARE JUVENILES AND THEIR PARENTS SIGNED SOR.
903359117,BLOOMINGTON PD,B1916592,MONROE,PERRY,BLOOMINGTON,4/24/2019,5:55 PM,2,0,0,0,0,,COLLEGE MALL,RD,,,,S COLLEGE MALL,MOORSE,,,,Y,,300,N,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,558,600,Y,Y,EMOORSEPIKESCOLLEGEMALLRD,0,NONE,"V1 WAS WAITING AT THE STOP SIGN OF THE PARKING LOT OF KROGER JACKSON CREEK. V1 PULLED OUT OF THE PARKING LOT TO TURN LEFT AND TRAVEL SOUTH ON S. COLLEGE MALL RD. V1 FAILED TO YIELD TO ON COMMING TRAFFIC AND STRUCK V2 ON THE PASSENGER SIDE, SENDING V2 IN THE AIR AND IT LANDING INVERTED.D1 STATED THAT HE WAS WAITING AT THE STOP SIGN OF KROGER PARKING LOT. D1 STATED THAT HE LOOKED AND DID NOT SEE ANY VEHICLES AND BEGAN TO ENTER THE INTERSECTION. D1 STATED THAT HE BELIEVES V2 WAS TRAVELING VERY FAST AND THAT'S WHY HE DID NOT SEE IT.V2 WAS TRAVELING NORTH ON S. COLLEGE MALL RD. V2 WAS STRUCK ON THE PASSENGER SIDE BY V1.D2 STATED THAT SHE DID NOT REMEMBER WHICH LANE SHE WAS IN, BUT SHE WAS TRAVELING NORTH ON COLLEGE MALL RD. D2 STATED THAT V2 WAS STRUCK BY V1."
903358571,BLOOMINGTON PD,B1916513,MONROE,PERRY,BLOOMINGTON,4/24/2019,3:38 AM,4,0,0,0,0,934,E HILLSIDE,DR,,,,E HILLSIDE,,,,,Y,,,,39.15071451,-86.52222125,UNKNOWN,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,$25001 TO $50000,REAR END,338,342,Y,Y,EHILLSIDEDR,0,NONE,"V1 STRUCK PARKED V2. V2 THEN STRUCK V3, WHICH THEN STRUCK V4. V2, V3, AND V4 WERE ALL PARKED.D1 STATED THAT SHE WRECKED INTO THE VEHICLES BUT DID NOT ELABORATE.ALL VEHICLE OWNERS WERE NOTIFIED."
903359842,INDIANA UNIV BLOOMINGTON PD,191032,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,10:33 PM,1,0,1,0,0,,INDIANA,AVE,,,,INDIANA,SIXTH,,,,Y,,,,39.16752,-86.52695,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,1035,1036,Y,N,INDIANAAVESIXTHST,1,NONE,"Unit 1, a vehicle, was attempting to back up south on Indiana Avenue from 6th Street. Unit 2, a bicyclist, was traveling west across Indiana Avenue at 6th Street.Unit 1 advised he had accidentally began turning the wrong way onto 6th Street and to avoiding driving the wrong way, Unit 1 stated he backed up to continue north on Indiana. Unit 1 stated as he backed south on Indiana Avenue he struck Unit 2. He stated he was unable to see Unit 2.Unit 2 was not cooperative but advised officers he was headed west crossing Indiana Avenue at 6th Street when he was struck.Unit 1 advised that Unit 2 was screaming in pain when he was struck. Upon officer arrival, Unit 2 was standing and collecting his belongings. He refused medical from the ambulance on scene but stated his hip hurt.There was no damage to the vehicle or bicycle."
903359958,MONROE SD,M19A13390,MONROE,VAN BUREN,BLOOMINGTON,4/25/2019,2:09 PM,2,0,0,0,0,9689,,,SR48W,,,SR48W,,,,,N,,,,39.165056,-86.653168,STATE ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,ROADWAY SURFACE CONDITION,$2501 TO $5000,RIGHT ANGLE,214,226,Y,N,SR48W,0,NONE,"V1 WAS TRAVELING WESTBOUND ON W SR 48 WHEN D1 LOST CONTROL OF V1 WHILE TRAVELING THROUGH A CURVE. V1 THEN WENT OFF OF THE SOUTHSIDE OF THE ROADWAY, SPUN, AND STRUCK V2, V1'S REAR BUMPER CONTACTING THE DRIVERS SIDE OF V2, WHICH WAS PARKED. D1 STATED THAT HE WAS TRAVELING AT THE POSTED SPEED LIMIT BEFORE V1 HYDROPLANED AND WENT OFF OF THE ROAD."
903359700,BLOOMINGTON PD,B1916728,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,4:43 PM,2,0,0,0,0,,S WALNUT,ST,,,,S WALNUT,S WALNUT ST,,,,Y,,,,39.16664,-86.5336,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,443,450,Y,N,SWALNUTSTPIKESWALNUTST,0,STOP SIGN,"D1 was traveling N/W on S Walnut St Pike, approaching S Walnut St. D2 was traveling South on S Walnut St, approaching S Walnut St Pike. D1 stopped at the intersection and waited for traffic to clear. D1 then believed the roadway to be clear and proceeded across S Walnut St into a nearby parking lot. As D1 crossed the right lane of S/B traffic, V2 struck V1, causing a collison. D1 stated that she was traveling N/W on S Walnut St Pike, approaching S Walnut St. D1 stated that she stopped at the intersection and waited for the roadway to clear. D1 stated that she believed the roadway to be clear, and saw that the left S/B lane of travel stopped. D1 stated that she then proceeded across S Walnut St, and as she crossed the road V2 struck V1 in the rear passenger side. D2 stated that he was traveling South on S Walnut St, approaching S walnut St Pike. D2 stated that as he was approaching the intersection he saw that traffic was stopped in the left lane. D2 stated that his lane was clear, so he proceeded into the intersection V1 pulled into his lane of travel, causing V2 to strike V1 in the rear passenger side."
903359946,MONROE SD,M19A13383,MONROE,CLEAR CREEK,BLOOMINGTON,4/25/2019,1:00 PM,2,0,0,0,0,8852,MORRISON,CT,,,,SOUTH MORRISON,,,,,N,,,,39.03236,-86.50306,UNKNOWN,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,103,114,Y,N,SOUTHMORRISONCT,0,NONE,VEHICLE 1 WAS BACKING OUT OF DRIVEWAY AT 8852 SOUTH MORRISON COURT. VEHICLE 1 WAS TRAVELING NORTHBOUND ONTO SOUTH MORRISON COURT. VEHICLE 1 STRUCK THE BACK OF VEHICLE 2 WHILE VEHICLE 2 WAS PARKED IN FRONT OF NEXT DOOR DRIVEWAY 8840 SOUTH MORRISON COURT.DRIVER 1 WAS UNINJURED AND DECLINED ANY MEDICAL ATTENTION.BOTH VEHICLES WERE DRIVABLE AND DRIVEN FROM SCENE.
903359199,INDIANA UNIV BLOOMINGTON PD,191021,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,10:00 PM,2,0,0,0,0,1320,E 10TH,ST,,,,E 10TH,,,,,Y,,,,39.17157747,-86.51808392,UNKNOWN,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT TURN,1006,1008,Y,N,E10THST,0,LANE CONTROL,"V2 was driving in the IU Wells Library parking lot headed straight, south, looking for a parking spot. V1 was stopped in traffic in the Wells Library parking lot looking to turn right to head south through the lot. I first spoke to D1 who stated that he was looking to turn right so that he could move into a different lane as there were no spots to park. D1 stated he had been looking right (to the south) for spots, saw a spot, and then continued driving. D1 stated that was when he all of a sudden realized that he had driven out in front of V2. V1 failed to check to both the left and the right to ensure no oncoming traffic was moving, so while turning right, V1 struck V2. I then spoke to D2 who stated that he was going straight through the parking lot to find a parking spot. While going straight, D2 stated he saw D1 near the exit of the parking lane, however he stated he figured D1 had seen him driving and would yield to him. D2 then stated he realized D1 had not seen him coming, attempted to swerve left, however was unable to prevent V1 from hitting V2. V1 sustained damage to the front left bumper and V2 sustained damage to the passenger side rear door."
903359574,BLOOMINGTON PD,B1916714,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,10:50 AM,2,0,0,0,0,,N GRANT,ST,,,,N GRANT,8TH,,,,Y,,,,39.169552,-86.529696,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,UNKNOWN,RAIN,WET,,FIVE POINT OR MORE,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,300,315,Y,Y,8THSTNGRANTST,0,STOP SIGN,"V1 WAS TRAVELING S/B ON GRANTST. V2 WAS PARKED N/B ON GRANT ST. V1 STRUCK V2 WHILE PARKED CAUSING DAMAGE TO THE DRIVER SIDE MIRROR.V1 LEFT THE SCENE OF THE ACCIDENT.OWNER OF V2 ADVISED THAT HER VEHICLE WAS PARKED N/B ON GRANT ST. OWNER OF V2 ADVISED THAT SHE NOTICED DAMAGE TO HER MIRROR AROUND 10:50 AM THIS MORING. OWNER OF V2 ADVISED THAT SHE DID NOT HAVE ADDITONAL INFORMATION FOR V1.DUE TO D1 IMPROPER LANE USAGE, V1 STRUCK V2 CAUSING DAMAGE TO THE DRIVER SIDE MIRROR."
903359864,BLOOMINGTON PD,B1916788,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,8:30 PM,1,0,0,0,0,,FOURTH,ST,,,,FOURTH,COLLEGE,,,,Y,OTHER,,,39.165664,-86.5348,LOCAL/CITY ROAD,,N,N,URBAN,N,N,Y,WORK ON SHOULDER,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,334,345,Y,N,COLLEGEAVEFOURTHST,0,LANE CONTROL,"On 04/26/2019 at approximately 03:45 hours, I responded to 4th and College Avenue regarding a prior accident. The BMW was registered to Christopher Bailey. I contacted Bailey by phone and he advised on 04/25/2019 at approximately 20:30 hours, he collided with a plastic water filled barrier near 4th and College Avenue. The barrier does not have a placard advising the owners name. According to Bailey, he was driving east bound when his windshield fogged up and he didn't see the plastic and concrete barrier. Consequently, D1 collided with the plastic and concrete barrier.After the collision, Bailey advised he parked his vehicle at 4th and Walnut Street; where he contacted his insurance company.I believe the plastic barrier may be owned by Strauser construction."
903360495,MONROE SD,M19A13422,MONROE,BENTON,BLOOMINGTON,4/25/2019,8:25 PM,1,0,0,0,0,,ANDERSON,RD,,,,ANDERSON,FARR,,,,N,,2500,W,0,0,LOCAL/CITY ROAD,,N,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WATER (STANDING OR MOVING),,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$10001 TO $25000,RAN OFF ROAD,826,853,Y,N,ANDERSONRDFARRRD,0,NONE,"WHILE TRAVELING EAST ON ANDERSON, THE DRIVER OF UNIT 1 STATED SHE LOST CONTROL OF UNIT 1 DUE TO STANDING WATER. UNIT 1 LEFT THE ROADWAY, STRUCK A TREE ON THE FRONT PASSENGER SIDE TIRE, SPUN AROUND AND STRUCK ANOTHER TREE WITH THE REAR DRIVER'S SIDE BUMPER."
903359599,BLOOMINGTON PD,B1916709,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,2:35 PM,1,0,0,0,0,,HENDERSON,ST,,,,S HENDERSON,WINSLOW,,,,Y,,200,N,39.15716346,-86.52689,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,238,242,Y,Y,EWINSLOWRDSHENDERSONST,1,NONE,V1 WAS TRAVELING NB ON S HENDERSON ST WHEN A PEDESTRIAN 1 RAN FROM THE SIDEWALK AND INTO THE ROAD AND STRUCK V1 ON THE PASSENGER SIDE WINDOW AND DOOR CAUSING THE FRONT WINDSHIELD AND A DENT IN THE REAR PASSENGER SIDE DOOR. PEDESTRIAN 1 ADVISED HE DID NOT SEE V1 WHEN HE RAN INTO THE ROAD. REDESTRIAN 1 AND D1 ADVISED NO INJURIES.
903359820,BLOOMINGTON PD,B1916764,MONROE,PERRY,BLOOMINGTON,4/25/2019,9:30 PM,2,0,0,0,0,3100,WALNUT,PIKE,,,,S WALNUT STREET,,,,,,,,,39.12631655,-86.52674475,UNKNOWN,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,947,956,N,Y,SWALNUTSTREETPIKE,0,NONE,V1 STRUCK V2.D1 IS UNKOWN.D2 STATED THAT HE BELIEVES V1 BACKED INTO PARKING SPOT AND STRUCK V2 ON THE FRONT DRIVERS SIDE BUMPER.INCIDENT IS STILL UNDER INVESTIGATION
903359568,BLOOMINGTON PD,B1916704,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,2:01 PM,2,0,0,0,0,,HAWTHRONE,DR,,,,S HAWTHRONE,ATWATER,,,,Y,,,,39.16309,-86.52021,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,201,205,N,N,EATWATERAVESHAWTHRONEDR,0,STOP SIGN,"V1 was traveling N/B on Hawthrone DR. V2 was traveling E/B on Atwater Ave. V1 disregarded the stop sign at the corner of Hawthrone DR and Atwater AVE and struck V2 causing damage to both vehicles.D1 advised that he was traveling N/B on Hawthrone DR. D1 advised that he thought the intersection was a 4 way stop and proceeded into traffic. D1 advised that he then collided with V2. D1 advised that he was not injured.D2 advised that he was traveling E/B on Atwater Ave. D2 advised that he then observed V1 approaching the intersection, when he felt the impact of V1. D2 advised that he had a complaint of pain to his head but declined medical attention.Due to D1 disregarding the stop sign, V1 struck V2 causing damage to both vehicles."
903359695,INDIANA UNIV BLOOMINGTON PD,191027,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,12:54 PM,2,0,1,0,0,,TENTH,ST,,,,TENTH,WALNUT GROVE,,,,Y,,,,39.17162,-86.52099,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,UNDER $1001,REAR END,1255,1258,Y,N,TENTHSTWALNUTGROVEST,0,LANE CONTROL,"V1 was traveling westbound on 10th Street approaching Walnut Grove Street. V2 was traveling westbound on 10th Street approaching Walnut Grove Street in front of V1. At the time of the accident, it was raining and the roadway was wet.D1 stated she was traveling westbound on 10th Street approaching Walnut Grove Street when she observed V2 suddenly brake in front of her. D1 stated V2 applied her brakes due to pedestrians walking into the crosswalk. D1 stated she applied her brakes and began skidding. D1 stated she could not stop in time and rear-ended V2. V1 had no visible damage to the vehicle.D2 stated she was traveling westbound on 10th Street approaching Walnut Grove Street when pedestrians began to enter the crosswalk. D2 stated she applied her brakes and was rear-ended by V1. D2 complained of neck pain. D2 was checked by EMS and refused to be transported to the hospital. V2 had no visible damage."
903360494,MONROE SD,M19A13413,MONROE,RICHLAND,ELLETTSVILLE,4/25/2019,4:57 PM,2,0,0,0,0,,UNION VALLEY,RD,,,,UNION VALLEY,MCNEELY,,,,N,,,,39.2375,-86.59278,LOCAL/CITY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,459,506,Y,N,MCNEELYRDUNIONVALLEYRD,0,NONE,"UNIT 1 STATED THAT WHILE TRAVELING NORTH ON UNION VALLEY, A VEHICLE IN FRONT OF UNIT 1 STOPPED. UNIT 1 STATED THAT SHE SWERVED TO MISS THE VEHICLE, TURNING UNIT 1 INTO ONCOMING TRAFFIC. UNIT 1 STRUCK UNIT 2, CAUSING UNIT 2 TO GO OFF THE ROADWAY. UNIT 1 SHOWED SIGNS OF DAMAGE ON THE FRONT DRIVER'S SIDE AREA AND UNIT 2 SHOWED DAMAGE ON THE REAR DRIVER'S SIDE AREA."
903359654,BLOOMINGTON PD,B1916733,MONROE,PERRY,BLOOMINGTON,4/25/2019,5:15 PM,2,0,1,0,0,,EAST COVENANTER,RD,,,,EAST COVENANTER,SOUTH COLLEGE MALL,,,,Y,,,,39.155152,-86.497888,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,518,522,Y,Y,EASTCOVENANTERRDSOUTHCOLLEGEMALLRD,0,TRAFFIC CONTROL SIGNAL,"V1 WAS WESTBOUND ON EAST COVENANTER DRIVE, AT THE INTSERSECTION OF SOUTH COLLEGE MALL ROAD, WHEN IT FAILED TO STOP AND STRUCK THE REAR END OF V2 WHICH WAS STOPPED IN TRAFFIC.D1 STATED HE WAS UNABLE TO STOP IN TIME PRIOR TO STRIKING THE REAR END OF V2.D2 STATED HE WAS STOPPED IN TRAFFIC WHEN HE WAS REAR ENDED BY V1. D2 HAD COMPLIANT OF PAIN IN HIS NECK, WAS TREATED ON SCENE AND NOT TRANSPORTED TO THE HOSPITAL."
903362101,ISP BLOOMINGTON 33,2.019E+11,MONROE,BLOOMINGTON,BLOOMINGTON,4/25/2019,5:30 PM,2,0,0,0,0,,MONROE,ST,,,,MONROE,,,,,Y,,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,$1001 TO $2500,SAME DIRECTION SIDESWIPE,545,557,Y,N,MONROESTSR45,0,NONE,"Monroe Street is a local two-lane, two way road in Bloomington that primarily runs north and south. It was raining at the time of the crash. V1 Blue 2005 Pontiac Vibe was stopped facing northbound on Monroe Street, waiting to turn right onto State Road 45/46 bypass behind vehicle #2. Driver #1, Judith Poling stated that she thought vehicle #2 was going straight, so she went to go around vehicle #2 on the right. As she turned onto SR 45/46 vehicle #2 also turned right and they collided. V2 White 2005 Chevrolet Tahoe was stopped at the stop sign facing northbound on Monroe Street waiting to turn right onto State Road 45/46 bypass. Driver #2, James Riggins stated that as he was making the right turn, his vehicle and vehicle #1 struck. Driver #1 stated that he did not see vehicle #1 prior to the crash. Evidence on the scene indicates that on Monroe Street there is no right turn lane. Vehicle #1 had to go around vehicle #2 on the shoulder. This crash was caused due to improper lane usage."
